page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
1676,Galactus ,\/Galactus_,Secret Identity,Neutral Characters,Brown Eyes,No Hair,Male Characters,,Living Characters,390,Mar-66,1966
1395,Danielle Moonstar ,\/Danielle_Moonstar_,Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,388,Nov-82,1982
2183,Marc Spector ,\/Marc_Spector_,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,387,Aug-75,1975
1782,Gwendolyne Stacy ,\/Gwendolyne_Stacy_,No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,384,Dec-65,1965
2137,Medusalith Amaquelin ,\/Medusalith_Amaquelin_,Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,382,Mar-65,1965
2374,Sabretooth ,\/Sabretooth_,Secret Identity,Bad Characters,Amber Eyes,Blond Hair,Male Characters,,Living Characters,382,Aug-77,1977
2077,Illyana Rasputina ,\/Illyana_Rasputina_,Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,380,May-75,1975
2344,Johann Shmidt ,\/Johann_Shmidt_,Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,376,Aug-41,1941
1616,Fandral ,\/Fandral_,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,375,Aug-65,1965
1131,Sean Cassidy ,\/Sean_Cassidy_,Secret Identity,Neutral Characters,Green Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,374,Jan-67,1967
2487,Thomas Raymond ,\/Thomas_Raymond_,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,373,Sep-40,1940
1572,Uatu ,\/Uatu_,Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Deceased Characters,373,Apr-63,1963
2239,Richard Rider ,\/Richard_Rider_,Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,373,Sep-76,1976
1827,Hogun ,\/Hogun_,Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,,Living Characters,371,Aug-65,1965
55878,Raven Darkholme ,\/Raven_Darkholme_,Secret Identity,Bad Characters,Yellow Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,371,Apr-78,1978
2173,Barbara Morse ,\/Barbara_Morse_,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,368,Jun-71,1971
1179,Blackagar Boltagon ,\/Blackagar_Boltagon_,No Dual Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,366,Dec-65,1965
2392,Brunnhilde ,\/Brunnhilde_,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,361,Dec-70,1970
1404,Alison Blaire ,\/Alison_Blaire_,Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,353,Feb-80,1980
18186,Venom  ,\/Venom__,Known to Authorities Identity,Neutral Characters,Variable Eyes,No Hair,Agender Characters,,Living Characters,348,May-84,1984
1586,John Walker ,\/John_Walker_,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,346,Nov-86,1986
2440,Greer Grant ,\/Greer_Grant_,Public Identity,Good Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,342,Nov-72,1972
2185,Karla Sofen ,\/Karla_Sofen_,Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,340,Dec-75,1975
2382,William Baker ,\/William_Baker_,Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,338,Sep-63,1963
1300,Sharon Carter ,\/Sharon_Carter_,Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,332,Mar-66,1966
1180,Felicia Hardy ,\/Felicia_Hardy_,Public Identity,Bad Characters,,Blond Hair,Female Characters,,Living Characters,332,Jul-79,1979
1901,Cain Marko ,\/Cain_Marko_,Public Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,329,Jul-65,1965
37751,Monica Rambeau ,\/Monica_Rambeau_,Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,327,,
20978,Maria Hill ,\/Maria_Hill_,No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,325,Apr-05,2005
1161,Ben Urich ,\/Ben_Urich_,No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,324,Jul-78,1978
2182,Heather Douglas ,\/Heather_Douglas_,Secret Identity,Good Characters,Blue Eyes,Bald,Female Characters,Bisexual Characters,Living Characters,323,Jan-73,1973
100209,Millicent Collins ,\/Millicent_Collins_,Public Identity,,Blue Eyes,Blond Hair,Female Characters,,Living Characters,321,Dec-45,1945
1973,James Proudstar ,\/James_Proudstar_,Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,320,Jun-84,1984
1633,Angelica Jones ,\/Angelica_Jones_,Known to Authorities Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,319,May-85,1985
11857,Edward Brock ,\/Edward_Brock_,Public Identity,Neutral Characters,Black Eyes,Blond Hair,Male Characters,,Living Characters,318,Sep-86,1986
2513,MacDonald Gargan ,\/MacDonald_Gargan_,Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,,Living Characters,317,Dec-64,1964
2146,Mephisto ,\/Mephisto_,No Dual Identity,Bad Characters,White Eyes,Black Hair,Male Characters,,Living Characters,316,Dec-68,1968
7630,Tabitha Smith ,\/Tabitha_Smith_,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,316,Nov-85,1985
2238,Jean-Paul Beaubier ,\/Jean-Paul_Beaubier_,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Homosexual Characters,Living Characters,313,Apr-79,1979
1706,Daniel Ketch ,\/Daniel_Ketch_,Secret Identity,Neutral Characters,Green Eyes,Brown Hair,Male Characters,,Living Characters,311,May-90,1990
1460,Neena Thurman ,\/Neena_Thurman_,Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,310,Mar-92,1992
2010,Wong ,\/Wong_,No Dual Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Living Characters,306,Jul-63,1963
2456,Thanos ,\/Thanos_,No Dual Identity,Bad Characters,Red Eyes,No Hair,Male Characters,,Living Characters,306,Feb-73,1973
15282,Shang-Chi ,\/Shang-Chi_,No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,296,Dec-73,1973
4704,Alicia Masters ,\/Alicia_Masters_,No Dual Identity,Good Characters,Brown Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,293,Nov-62,1962
5708,Robert Baldwin ,\/Robert_Baldwin_,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,293,Sep-88,1988
1902,Vance Astrovik ,\/Vance_Astrovik_,Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,290,Jul-75,1975
6633,Wendell Vaughn ,\/Wendell_Vaughn_,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,290,Jan-78,1978
100716,Chili Storm ,\/Chili_Storm_,Public Identity,,Green Eyes,Red Hair,Female Characters,Homosexual Characters,Living Characters,284,Oct-48,1948
4565,Abner Jenkins ,\/Abner_Jenkins_,Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,284,Aug-64,1964
1505,Elektra Natchios ,\/Elektra_Natchios_,Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,280,Jan-81,1981
1256,Bullseye  ,\/Bullseye__,Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,277,Mar-76,1976
119507,Forge ,\/Forge_,Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,276,Aug-84,1984
9106,Virginia Potts ,\/Virginia_Potts_,No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,274,Sep-63,1963
2383,Walter Langkowski ,\/Walter_Langkowski_,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,273,Apr-79,1979
1733,Gorgon ,\/Gorgon_,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,272,Nov-65,1965
37689,James Madrox ,\/James_Madrox_,Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,271,Feb-75,1975
1808,Heimdall ,\/Heimdall_,Secret Identity,Good Characters,Grey Eyes,Brown Hair,Male Characters,,Living Characters,270,Oct-62,1962
2558,Theresa Cassidy ,\/Theresa_Cassidy_,Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,267,Apr-81,1981
1565,Laura Kinney ,\/Laura_Kinney_,Secret Identity,Good Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,265,Feb-04,2004
33447,Arthur Douglas ,\/Arthur_Douglas_,Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,264,Feb-73,1973
2511,Peter Parker  ,\/Peter_Parker__,Secret Identity,Good Characters,Hazel Eyes,Blond Hair,Male Characters,,Deceased Characters,263,Oct-75,1975
1971,Warlock  ,\/Warlock__,Secret Identity,Good Characters,Black Eyes,No Hair,Male Characters,,Living Characters,261,Aug-84,1984
1903,Kevin Plunder ,\/Kevin_Plunder_,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,260,Mar-65,1965
1445,Leonard Samson ,\/Leonard_Samson_,Public Identity,Good Characters,Brown Eyes,Green Hair,Male Characters,,Deceased Characters,260,Jul-71,1971
2582,Melissa Gold ,\/Melissa_Gold_,Secret Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,,Living Characters,260,Aug-79,1979
2037,Lockheed ,\/Lockheed_,Secret Identity,Good Characters,,No Hair,Male Characters,,Living Characters,260,Feb-83,1983
1935,Mercedes Knight ,\/Mercedes_Knight_,Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,259,Mar-72,1972
2060,Moira Kinross ,\/Moira_Kinross_,No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,,Deceased Characters,259,Dec-75,1975
1915,Karnak ,\/Karnak_,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,257,Dec-65,1965
2204,Namorita Prentiss ,\/Namorita_Prentiss_,Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,257,Jun-72,1972
2038,Lockjaw ,\/Lockjaw_,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,255,Dec-65,1965
1029,Adam Warlock ,\/Adam_Warlock_,No Dual Identity,Good Characters,White Eyes,Gold Hair,Male Characters,,Living Characters,252,Sep-67,1967
2407,Heather McNeil ,\/Heather_McNeil_,Public Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,252,Nov-80,1980
2034,Curtis Connors ,\/Curtis_Connors_,Public Identity,Neutral Characters,Red Eyes,No Hair,Male Characters,,Living Characters,250,Nov-63,1963
